FILIAL;CODTIPOCURSO;MODALIDADE;CODPROVA;PROVA;CODAREA;CODMATERIA;SEMESTRE;AVALIADOR;CODCURSO;CURSO;SEQOBJETOAVALIADO;CODQUESTAO;QUESTAO;CODOPCAO;OPCAO;STATUS;RESPOSTA
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91879401;204;Engenharia de Software;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91879422;222;Terapia Ocupacional;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91879506;308;Direito;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91879533;219;Enfermagem;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91879556;308;Direito;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91879560;204;Engenharia de Software;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91879569;204;Engenharia de Software;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91879582;224;Inteligência Artificial;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91879584;213;Psicologia;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;00761;Avaliação Discente UniCatolica 2026.1;;;1;91879626;308;Direito;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
